N	M	R_coefficient	Q_coefficient
22	8	2.0844993822347627e-12	-1.6529607139706406e-12
22	9	-2.0326092067779373e-13	4.700590137984405e-13
22	10	2.177169537758689e-12	1.0917143648454087e-12
22	11	-1.9851805366654694e-12	1.4573814952359393e-12
22	12	-1.3308152795035926e-12	2.825245678224138e-12
22	13	-2.35937570863072e-13	1.1917707551220396e-12
22	14	2.7300019594702905e-12	8.583435457944205e-13
22	15	-1.447484077210343e-12	1.5809121680069111e-12
22	16	-5.053677574152645e-13	-3.869141136722837e-13
22	17	1.3988455492025265e-12	-7.836022096122502e-13
22	18	2.4083807875578465e-13	2.0870653740960785e-13
22	19	-1.0732226439297406e-12	-4.1759771681227405e-14
22	20	-3.946888513519218e-14	1.037934189002844e-12
22	21	-8.703876265750677e-13	1.8663575099300903e-12
22	22	-1.5033907568651972e-12	1.6405923658860888e-12
23	0	-8.640263787196325e-14	0.0
23	1	1.5546126909984086e-12	2.4825125646799117e-12
23	2	2.1238747148802682e-13	-5.488973388634779e-13
23	3	6.054606999239115e-13	1.5572503514508616e-13
23	4	1.2309673631056057e-12	-4.5023314986914026e-13
23	5	-1.0338676163419475e-12	8.087539608519992e-13
23	6	7.783841963224161e-13	1.2576964686318812e-12
23	7	2.4108304151170834e-13	6.31602415761879e-13
23	8	1.2261807627124897e-12	-1.4821442685844383e-12
23	9	9.266123750725647e-13	-4.1788696595462957e-13
23	10	-1.461397693588209e-13	1.3654176491795e-12
23	11	-1.0123454068552454e-12	6.460755352933175e-13
23	12	9.776819099320023e-13	2.5949554433298222e-12
23	13	1.5404789167704614e-13	-5.805688322408336e-13
23	14	-7.911499875552054e-14	-1.1464762477284974e-12
23	15	5.524471046096555e-13	3.7434860690114555e-12
23	16	-1.1536424997350118e-12	3.060260783936214e-13
23	17	1.293705568046679e-12	-5.607476828199158e-13
23	18	-2.488664762725192e-12	-6.789463286936145e-13
23	19	1.0635761953611376e-12	-1.1730015291699815e-12
23	20	-2.4466235534110125e-12	1.9549175915444718e-13
23	21	8.494556842331769e-13	-1.5597524455574018e-12
23	22	6.938115868803611e-13	2.1314933381813478e-12
23	23	-1.857824484137393e-12	1.0128618358331643e-12
24	0	1.9033210774340658e-13	0.0
24	1	1.033237080635963e-12	8.760445417742747e-13
24	2	4.4436139481263197e-13	9.769175434613304e-13
24	3	7.346956066914103e-13	1.1045860470168165e-12
24	4	6.417571374384813e-13	2.7605413805218833e-13
24	5	8.221680753936505e-13	-9.305508208068322e-13
24	6	-3.5998246544751004e-13	1.4004322958446518e-12
24	7	-1.8666968473334517e-13	1.5324117149046905e-12
24	8	4.751983154347081e-13	3.8979237089706845e-13
24	9	1.5708702430757528e-12	-2.102877751041344e-12
24	10	-1.3122876759574096e-12	2.2496169066077415e-13
24	11	-2.0398621478358958e-12	-1.2705656004495675e-13
24	12	1.9990999479362896e-12	1.81709978831671e-13
24	13	1.217472874577108e-12	-7.992748607880763e-13
